mass_g,sphere_endurance_factor,prolate_ellipsoid_endurance_factor,cuboid_endurance_factor,flattened_ellipsoid_endurance_factor
35,999.999999999999,999.999999999999,999.999999999999,999.999999999999
36,999.999999999999,999.999999999999,999.999999999999,999.999999999999
37,999.999999999999,999.999999999999,999.999999999999,999.999999999999
38,999.999999999999,999.999999999999,999.999999999999,999.999999999999
39,999.999999999999,999.999999999999,999.999999999999,999.999999999999
40,999.999999999999,999.999999999999,999.999999999999,999.999999999999
41,999.999999999999,999.999999999999,999.999999999999,999.999999999999
42,999.999999999999,999.999999999999,999.999999999999,999.999999999999
43,999.999999999999,999.999999999999,999.999999999999,999.999999999999
44,999.999999999999,999.999999999999,999.999999999999,999.999999999999
45,999.999999999999,999.999999999999,999.999999999999,999.999999999999
46,999.999999999999,999.999999999999,999.999999999999,999.999999999999
47,999.999999999999,999.999999999999,999.999999999999,999.999999999999
48,999.999999999999,999.999999999999,999.999999999999,999.999999999999
49,999.999999999999,999.999999999999,999.999999999999,999.999999999999
50,999.999999999999,999.999999999999,999.999999999999,999.999999999999
51,999.999999999999,999.999999999999,999.999999999999,999.999999999999
52,999.999999999999,999.999999999999,999.999999999999,999.999999999999
53,999.999999999999,999.999999999999,999.999999999999,999.999999999999
54,999.999999999999,999.999999999999,999.999999999999,999.999999999999
55,999.999999999999,999.999999999999,999.999999999999,999.999999999999
56,999.999999999999,999.999999999999,999.999999999999,999.999999999999
57,999.999999999999,999.999999999999,999.999999999999,999.999999999999
58,999.999999999999,999.999999999999,999.999999999999,999.999999999999
59,999.999999999999,999.999999999999,999.999999999999,999.999999999999
60,999.999999999999,999.999999999999,999.999999999999,999.999999999999
61,999.999999999999,999.999999999999,999.999999999999,999.999999999999
62,999.999999999999,999.999999999999,999.999999999999,999.999999999999
63,999.999999999999,999.999999999999,999.999999999999,999.999999999999
64,999.999999999999,999.999999999999,999.999999999999,999.999999999999
65,999.999999999999,999.999999999999,999.999999999999,999.999999999999
66,999.999999999999,999.999999999999,999.999999999999,999.999999999999
67,999.999999999999,999.999999999999,999.999999999999,999.999999999999
68,999.999999999999,999.999999999999,999.999999999999,999.999999999999
69,999.999999999999,999.999999999999,999.999999999999,999.999999999999
70,999.999999999999,999.999999999999,999.999999999999,999.999999999999
71,999.999999999999,999.999999999999,999.999999999999,999.999999999999
72,999.999999999999,999.999999999999,999.999999999999,999.999999999999
73,999.999999999999,999.999999999999,999.999999999999,999.999999999999
74,999.999999999999,999.999999999999,999.999999999999,999.999999999999
75,999.999999999999,999.999999999999,999.999999999999,999.999999999999
76,999.999999999999,999.999999999999,999.999999999999,999.999999999999
77,999.999999999999,999.999999999999,999.999999999999,999.999999999999
78,999.999999999999,999.999999999999,999.999999999999,999.999999999999
79,999.999999999999,999.999999999999,999.999999999999,999.999999999999
80,999.999999999999,999.999999999999,999.999999999999,999.999999999999
81,999.999999999999,999.999999999999,999.999999999999,999.999999999999
82,999.999999999999,999.999999999999,999.999999999999,999.999999999999
83,999.999999999999,999.999999999999,999.999999999999,999.999999999999
84,999.999999999999,999.999999999999,999.999999999999,999.999999999999
85,999.999999999999,999.999999999999,999.999999999999,999.999999999999
86,999.999999999999,999.999999999999,999.999999999999,999.999999999999
87,999.999999999999,999.999999999999,999.999999999999,999.999999999999
88,999.999999999999,999.999999999999,999.999999999999,999.999999999999
89,999.999999999999,999.999999999999,999.999999999999,999.999999999999
90,999.999999999999,999.999999999999,999.999999999999,999.999999999999
91,999.999999999999,999.999999999999,999.999999999999,999.999999999999
92,999.999999999999,999.999999999999,999.999999999999,999.999999999999
93,999.999999999999,999.999999999999,999.999999999999,999.999999999999
94,999.999999999999,999.999999999999,999.999999999999,999.999999999999
95,999.999999999999,999.999999999999,999.999999999999,999.999999999999
96,999.999999999999,999.999999999999,999.999999999999,999.999999999999
97,999.999999999999,999.999999999999,999.999999999999,999.999999999999
98,999.999999999999,999.999999999999,999.999999999999,999.999999999999
99,999.999999999999,999.999999999999,999.999999999999,999.999999999999
100,999.999999999999,999.999999999999,999.999999999999,999.999999999999
